pattern_id,side,pattern,error
82,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=5m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
83,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=5m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
84,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=5m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
85,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
86,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
87,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
88,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
89,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
90,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:20/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
91,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:20/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
92,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:20/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
93,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:30/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
94,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:30/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
95,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:30/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
96,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=15m:30/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
97,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:10/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
98,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:10/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
99,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:10/1.2,"AttributeError(""'Period' object has no attribute 'astype'"")"
100,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:10/1.5,"AttributeError(""'Period' object has no attribute 'astype'"")"
101,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:20/0.8,"AttributeError(""'Period' object has no attribute 'astype'"")"
102,error,use=ma+macd|hold=3|ma=5m:5/25/0.0|macd=5m:6/19/5|ichi=5m:7/22/44|bb=5m:10/2.0/0.0|vol=30m:20/1.0,"AttributeError(""'Period' object has no attribute 'astype'"")"
