system,signal_dt,entry_dt,exit_dt,year,month,pnl_pt,pnl_yen,result
①,2023-12-25 23:05:00,2023-12-25 23:10:00,2023-12-26 03:15:00,2023,12,-12.2,-122.0,TIME
①,2023-12-25 23:10:00,2023-12-25 23:15:00,2023-12-26 03:20:00,2023,12,-17.2,-172.0,TIME
①,2023-12-25 23:15:00,2023-12-25 23:20:00,2023-12-26 03:25:00,2023,12,-12.2,-122.0,TIME
①,2023-12-25 23:20:00,2023-12-25 23:25:00,2023-12-26 03:30:00,2023,12,-17.2,-172.0,TIME
①,2023-12-25 23:25:00,2023-12-25 23:30:00,2023-12-26 03:35:00,2023,12,-2.2,-22.0,TIME
①,2023-12-28 19:40:00,2023-12-28 19:45:00,2023-12-28 23:50:00,2023,12,-12.2,-122.0,TIME
①,2023-12-28 19:45:00,2023-12-28 19:50:00,2023-12-28 23:55:00,2023,12,7.8,78.0,TIME
①,2023-12-28 20:00:00,2023-12-28 20:05:00,2023-12-28 21:05:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 20:05:00,2023-12-28 20:10:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 20:10:00,2023-12-28 20:15:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 21:35:00,2023-12-28 21:40:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 21:40:00,2023-12-28 21:45:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 21:45:00,2023-12-28 21:50:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 21:50:00,2023-12-28 21:55:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 21:55:00,2023-12-28 22:00:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:00:00,2023-12-28 22:05:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:05:00,2023-12-28 22:10:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:10:00,2023-12-28 22:15:00,2023-12-29 00:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:15:00,2023-12-28 22:20:00,2023-12-28 23:25:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:20:00,2023-12-28 22:25:00,2023-12-28 23:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:25:00,2023-12-28 22:30:00,2023-12-28 23:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:30:00,2023-12-28 22:35:00,2023-12-28 23:00:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:35:00,2023-12-28 22:40:00,2023-12-28 23:20:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:40:00,2023-12-28 22:45:00,2023-12-28 23:20:00,2023,12,-62.2,-622.0,SL
①,2023-12-28 22:45:00,2023-12-28 22:50:00,2023-12-28 23:25:00,2023,12,-62.2,-622.0,SL
①,2024-01-04 19:30:00,2024-01-04 19:35:00,2024-01-04 20:35:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 19:35:00,2024-01-04 19:40:00,2024-01-04 20:35:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 19:40:00,2024-01-04 19:45:00,2024-01-04 20:35:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 19:45:00,2024-01-04 19:50:00,2024-01-04 20:35:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 19:50:00,2024-01-04 19:55:00,2024-01-04 20:35:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 19:55:00,2024-01-04 20:00:00,2024-01-04 21:10:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 22:00:00,2024-01-04 22:05:00,2024-01-05 00:05:00,2024,1,237.8,2378.0,TP
①,2024-01-04 22:05:00,2024-01-04 22:10:00,2024-01-04 23:10:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 22:10:00,2024-01-04 22:15:00,2024-01-04 23:05:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 22:15:00,2024-01-04 22:20:00,2024-01-04 23:00:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 22:20:00,2024-01-04 22:25:00,2024-01-04 23:00:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 22:25:00,2024-01-04 22:30:00,2024-01-04 22:55:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 22:30:00,2024-01-04 22:35:00,2024-01-04 23:00:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 22:35:00,2024-01-04 22:40:00,2024-01-04 23:00:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 22:40:00,2024-01-04 22:45:00,2024-01-04 23:00:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 22:45:00,2024-01-04 22:50:00,2024-01-04 23:00:00,2024,1,-62.2,-622.0,SL
①,2024-01-04 23:40:00,2024-01-04 23:45:00,2024-01-05 00:05:00,2024,1,237.8,2378.0,TP
①,2024-01-04 23:45:00,2024-01-04 23:50:00,2024-01-05 00:05:00,2024,1,237.8,2378.0,TP
①,2024-01-04 23:50:00,2024-01-04 23:55:00,2024-01-05 00:05:00,2024,1,237.8,2378.0,TP
①,2024-01-11 17:55:00,2024-01-11 18:00:00,2024-01-11 22:05:00,2024,1,112.8,1128.0,TIME
①,2024-01-11 18:00:00,2024-01-11 18:05:00,2024-01-11 22:10:00,2024,1,107.8,1078.0,TIME
①,2024-01-11 18:05:00,2024-01-11 18:10:00,2024-01-11 22:15:00,2024,1,67.8,678.0,TIME
①,2024-01-11 18:10:00,2024-01-11 18:15:00,2024-01-11 18:45:00,2024,1,-62.2,-622.0,SL
