entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month
2026-03-18 02:10:00+00:00,2026-03-18 02:15:00+00:00,54655.0,54674.0,18.0,18.0,TP,1,2026-03
2026-03-18 02:20:00+00:00,2026-03-18 02:20:00+00:00,54770.0,54789.0,18.0,18.0,TP,1,2026-03
2026-03-19 00:15:00+00:00,2026-03-19 00:15:00+00:00,53685.0,53682.0,-4.0,-4.0,SL,1,2026-03
2026-03-20 01:40:00+00:00,2026-03-20 01:40:00+00:00,53405.0,53402.0,-4.0,-4.0,SL,1,2026-03
2026-03-20 01:50:00+00:00,2026-03-20 01:50:00+00:00,53315.0,53312.0,-4.0,-4.0,SL,1,2026-03
2026-03-23 01:20:00+00:00,2026-03-23 01:20:00+00:00,51135.0,51132.0,-4.0,-4.0,SL,1,2026-03
2026-03-23 01:50:00+00:00,2026-03-23 01:50:00+00:00,51320.0,51339.0,18.0,18.0,TP,1,2026-03
2026-03-23 02:10:00+00:00,2026-03-23 02:10:00+00:00,51415.0,51434.0,18.0,18.0,TP,1,2026-03
2026-03-25 00:35:00+00:00,2026-03-25 00:35:00+00:00,53745.0,53764.0,18.0,18.0,TP,1,2026-03
2026-03-25 00:40:00+00:00,2026-03-25 00:40:00+00:00,53770.0,53767.0,-4.0,-4.0,SL,1,2026-03
2026-03-27 01:15:00+00:00,2026-03-27 01:15:00+00:00,52640.0,52659.0,18.0,18.0,TP,1,2026-03
2026-03-27 01:35:00+00:00,2026-03-27 01:35:00+00:00,52785.0,52782.0,-4.0,-4.0,SL,1,2026-03
2026-03-27 01:40:00+00:00,2026-03-27 01:40:00+00:00,52860.0,52879.0,18.0,18.0,TP,1,2026-03
2026-03-27 02:05:00+00:00,2026-03-27 02:05:00+00:00,52870.0,52889.0,18.0,18.0,TP,1,2026-03
2026-03-27 02:20:00+00:00,2026-03-27 02:20:00+00:00,52975.0,52972.0,-4.0,-4.0,SL,1,2026-03
2026-03-30 01:35:00+00:00,2026-03-30 01:35:00+00:00,51180.0,51177.0,-4.0,-4.0,SL,1,2026-03
2026-03-30 03:40:00+00:00,2026-03-30 03:40:00+00:00,51610.0,51629.0,18.0,18.0,TP,1,2026-03
2026-03-30 03:45:00+00:00,2026-03-30 03:45:00+00:00,51600.0,51619.0,18.0,18.0,TP,1,2026-03
2026-03-31 00:50:00+00:00,2026-03-31 00:50:00+00:00,51470.0,51467.0,-4.0,-4.0,SL,1,2026-03
2026-03-31 01:20:00+00:00,2026-03-31 01:20:00+00:00,51625.0,51644.0,18.0,18.0,TP,1,2026-03
2026-03-31 01:25:00+00:00,2026-03-31 01:25:00+00:00,51775.0,51794.0,18.0,18.0,TP,1,2026-03
2026-03-31 01:30:00+00:00,2026-03-31 01:30:00+00:00,51830.0,51849.0,18.0,18.0,TP,1,2026-03
2026-03-31 01:35:00+00:00,2026-03-31 01:35:00+00:00,52095.0,52114.0,18.0,18.0,TP,1,2026-03
2026-03-31 01:40:00+00:00,2026-03-31 01:40:00+00:00,52220.0,52239.0,18.0,18.0,TP,1,2026-03
