combo,n,win_rate,pnl,pf
bb_upper_zone_15m + macd_positive_30m + break_prev_high,661,27.53,-12352.0,0.472
bb2_touch_60m + macd_positive_15m + break_2bar_high,395,31.9,-6880.0,0.469
bb2_touch_60m + macd_positive_30m + break_2bar_high,394,31.73,-6883.0,0.468
bb_upper_zone_15m + macd_positive_15m + break_prev_high,680,27.94,-12830.0,0.468
bb_upper_zone_15m + macd_above_signal_60m + break_2bar_high,489,26.99,-9328.0,0.467
bb_upper_zone_15m + macd_positive_30m + break_2bar_high,563,27.35,-10666.0,0.467
bb_pullback_zone_15m + macd_hist_up_15m + break_2bar_high,265,27.55,-4845.0,0.466
bb_upper_zone_15m + macd_above_signal_60m + break_prev_high,574,27.0,-10938.0,0.465
bb_upper_zone_15m + macd_positive_60m + break_prev_high,722,27.56,-13829.0,0.465
bb_pullback_zone_60m + macd_golden_cross_60m + break_prev_high,24,29.17,-383.0,0.464
bb_upper_zone_15m + macd_positive_15m + break_2bar_high,581,27.88,-11112.0,0.463
bb_upper_zone_15m + macd_positive_60m + break_2bar_high,621,27.54,-11987.0,0.462
bb2_touch_60m + macd_above_signal_30m + break_2bar_high,390,31.79,-6890.0,0.46
bb2_touch_60m + macd_positive_60m + break_prev_high,474,31.22,-8503.0,0.46
bb_upper_zone_15m + macd_above_signal_30m + break_prev_high,671,27.72,-12902.0,0.459
bb2_touch_60m + macd_positive_15m + break_prev_high,472,31.14,-8539.0,0.455
bb2_touch_60m + macd_positive_30m + break_prev_high,471,31.0,-8542.0,0.455
bb_width_expand_60m + macd_golden_cross_30m + break_prev_high,25,32.0,-530.0,0.453
bb_width_expand_60m + macd_golden_cross_30m + break_2bar_high,25,32.0,-530.0,0.453
bb2_touch_60m + macd_above_signal_60m + break_2bar_high,383,31.59,-6841.0,0.453
bb_upper_zone_30m + macd_positive_60m + break_2bar_high,1071,30.53,-18462.0,0.453
bb2_touch_60m + macd_above_signal_15m + break_prev_high,407,30.47,-7499.0,0.452
