rule,entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month,weekday,hour_jst
rule2_ma_trend,2026-03-06 11:16:00,2026-03-06 11:16:00,55366.0,55345.0,-21.0,-21.0,SL,1,2026-03,Friday,11
rule2_ma_trend,2026-03-06 11:22:00,2026-03-06 11:22:00,55431.0,55435.0,4.0,4.0,TP,1,2026-03,Friday,11
rule2_ma_trend,2026-03-09 12:34:00,2026-03-09 12:34:00,52201.0,52205.0,4.0,4.0,TP,1,2026-03,Monday,12
rule2_ma_trend,2026-03-10 10:08:00,2026-03-10 10:08:00,54466.0,54445.0,-21.0,-21.0,SL,1,2026-03,Tuesday,10
rule2_ma_trend,2026-03-10 10:10:00,2026-03-10 10:10:00,54501.0,54480.0,-21.0,-21.0,SL,1,2026-03,Tuesday,10
rule2_ma_trend,2026-03-10 10:13:00,2026-03-10 10:13:00,54621.0,54625.0,4.0,4.0,TP,1,2026-03,Tuesday,10
rule2_ma_trend,2026-03-10 10:50:00,2026-03-10 10:50:00,54616.0,54595.0,-21.0,-21.0,SL,1,2026-03,Tuesday,10
rule2_ma_trend,2026-03-11 09:17:00,2026-03-11 09:17:00,55491.0,55495.0,4.0,4.0,TP,1,2026-03,Wednesday,9
rule2_ma_trend,2026-03-11 10:08:00,2026-03-11 10:08:00,55361.0,55340.0,-21.0,-21.0,SL,1,2026-03,Wednesday,10
rule2_ma_trend,2026-03-11 10:11:00,2026-03-11 10:11:00,55356.0,55360.0,4.0,4.0,TP,1,2026-03,Wednesday,10
rule2_ma_trend,2026-03-11 10:12:00,2026-03-11 10:12:00,55406.0,55385.0,-21.0,-21.0,SL,1,2026-03,Wednesday,10
rule2_ma_trend,2026-03-11 10:15:00,2026-03-11 10:15:00,55441.0,55420.0,-21.0,-21.0,SL,1,2026-03,Wednesday,10
rule2_ma_trend,2026-03-11 11:16:00,2026-03-11 11:16:00,55481.0,55485.0,4.0,4.0,TP,1,2026-03,Wednesday,11
rule2_ma_trend,2026-03-11 11:17:00,2026-03-11 11:17:00,55511.0,55490.0,-21.0,-21.0,SL,1,2026-03,Wednesday,11
rule2_ma_trend,2026-03-11 12:41:00,2026-03-11 12:41:00,55671.0,55650.0,-21.0,-21.0,SL,1,2026-03,Wednesday,12
rule2_ma_trend,2026-03-11 12:47:00,2026-03-11 12:47:00,55731.0,55710.0,-21.0,-21.0,SL,1,2026-03,Wednesday,12
rule2_ma_trend,2026-03-12 10:22:00,2026-03-12 10:22:00,54491.0,54470.0,-21.0,-21.0,SL,1,2026-03,Thursday,10
rule2_ma_trend,2026-03-12 10:23:00,2026-03-12 10:23:00,54506.0,54510.0,4.0,4.0,TP,1,2026-03,Thursday,10
rule2_ma_trend,2026-03-12 10:33:00,2026-03-12 10:33:00,54621.0,54600.0,-21.0,-21.0,SL,1,2026-03,Thursday,10
rule2_ma_trend,2026-03-13 10:05:00,2026-03-13 10:05:00,53566.0,53570.0,4.0,4.0,TP,1,2026-03,Friday,10
rule2_ma_trend,2026-03-16 12:42:00,2026-03-16 12:42:00,53326.0,53305.0,-21.0,-21.0,SL,1,2026-03,Monday,12
rule2_ma_trend,2026-03-16 12:47:00,2026-03-16 12:47:00,53366.0,53345.0,-21.0,-21.0,SL,1,2026-03,Monday,12
rule2_ma_trend,2026-03-16 12:50:00,2026-03-16 12:50:00,53421.0,53400.0,-21.0,-21.0,SL,1,2026-03,Monday,12
rule2_ma_trend,2026-03-18 09:53:00,2026-03-18 09:53:00,54296.0,54275.0,-21.0,-21.0,SL,1,2026-03,Wednesday,9
rule2_ma_trend,2026-03-18 09:59:00,2026-03-18 09:59:00,54376.0,54355.0,-21.0,-21.0,SL,1,2026-03,Wednesday,9
rule2_ma_trend,2026-03-18 10:02:00,2026-03-18 10:02:00,54456.0,54435.0,-21.0,-21.0,SL,1,2026-03,Wednesday,10
rule2_ma_trend,2026-03-19 11:13:00,2026-03-19 11:13:00,53586.0,53565.0,-21.0,-21.0,SL,1,2026-03,Thursday,11
