entry_time,exit_time,entry_price,exit_price,pnl,result,bb_squeeze,atr_ratio,month,weekday_num,weekday,hour
2026-02-19 10:10:00,2026-02-19 10:20:00,55870.0,55770.0,-100.0,SL,1.678,1.359,2026-02,3,木,10
2026-02-24 09:25:00,2026-02-24 09:30:00,54510.0,54760.0,250.0,TP,1.82,1.869,2026-02,1,火,9
2026-02-24 09:40:00,2026-02-24 09:45:00,54840.0,55090.0,250.0,TP,2.25,1.772,2026-02,1,火,9
2026-02-24 09:45:00,2026-02-24 09:50:00,54900.0,55150.0,250.0,TP,2.327,1.684,2026-02,1,火,9
2026-02-24 09:50:00,2026-02-24 09:55:00,55150.0,55050.0,-100.0,SL,2.549,1.7,2026-02,1,火,9
2026-02-24 09:55:00,2026-02-24 10:15:00,54980.0,54880.0,-100.0,SL,2.417,1.672,2026-02,1,火,9
2026-02-24 10:45:00,2026-02-24 10:50:00,55130.0,55030.0,-100.0,SL,1.139,0.765,2026-02,1,火,10
2026-02-25 09:25:00,2026-02-25 09:30:00,56630.0,56530.0,-100.0,SL,4.465,2.111,2026-02,2,水,9
2026-02-25 09:55:00,2026-02-25 10:05:00,56330.0,56580.0,250.0,TP,2.144,1.727,2026-02,2,水,9
2026-02-25 10:00:00,2026-02-25 10:05:00,56320.0,56570.0,250.0,TP,1.945,1.629,2026-02,2,水,10
2026-02-25 10:05:00,2026-02-25 10:30:00,56440.0,56640.0,200.0,TIME,1.79,1.6,2026-02,2,水,10
2026-02-25 12:55:00,2026-02-25 13:20:00,57600.0,57720.0,120.0,TIME,0.989,1.193,2026-02,2,水,12
2026-02-25 13:00:00,2026-02-25 13:20:00,57670.0,57920.0,250.0,TP,1.164,1.245,2026-02,2,水,13
2026-02-26 10:20:00,2026-02-26 10:25:00,58610.0,58510.0,-100.0,SL,1.232,1.146,2026-02,3,木,10
2026-02-26 10:25:00,2026-02-26 10:30:00,58450.0,58350.0,-100.0,SL,1.13,1.102,2026-02,3,木,10
2026-02-27 12:40:00,2026-02-27 12:45:00,57890.0,58140.0,250.0,TP,1.086,0.754,2026-02,4,金,12
2026-02-27 12:45:00,2026-02-27 13:00:00,58060.0,58310.0,250.0,TP,1.303,0.824,2026-02,4,金,12
2026-02-27 12:50:00,2026-02-27 13:15:00,58160.0,58280.0,120.0,TIME,1.523,0.881,2026-02,4,金,12
2026-02-27 12:55:00,2026-02-27 13:20:00,58220.0,58210.0,-10.0,TIME,1.715,0.942,2026-02,4,金,12
2026-03-05 09:20:00,2026-03-05 09:25:00,53130.0,53380.0,250.0,TP,4.021,1.507,2026-03,3,木,9
2026-03-05 09:25:00,2026-03-05 09:30:00,53120.0,53370.0,250.0,TP,4.023,1.47,2026-03,3,木,9
2026-03-05 09:30:00,2026-03-05 09:50:00,53410.0,53310.0,-100.0,SL,3.857,1.454,2026-03,3,木,9
2026-03-05 10:10:00,2026-03-05 10:15:00,53350.0,53250.0,-100.0,SL,1.834,1.222,2026-03,3,木,10
2026-03-06 11:15:00,2026-03-06 11:20:00,51270.0,51520.0,250.0,TP,0.937,0.959,2026-03,4,金,11
2026-03-06 11:25:00,2026-03-06 12:30:00,51540.0,51440.0,-100.0,SL,1.29,0.952,2026-03,4,金,11
2026-03-06 11:30:00,2026-03-06 12:30:00,51590.0,51490.0,-100.0,SL,1.429,0.941,2026-03,4,金,11
2026-03-06 12:50:00,2026-03-06 12:55:00,51420.0,51670.0,250.0,TP,1.496,0.841,2026-03,4,金,12
2026-03-06 12:55:00,2026-03-06 13:00:00,51450.0,51700.0,250.0,TP,1.458,0.846,2026-03,4,金,12
2026-03-06 13:00:00,2026-03-06 13:10:00,51670.0,51570.0,-100.0,SL,1.359,0.849,2026-03,4,金,13
2026-03-10 09:35:00,2026-03-10 09:40:00,48880.0,49130.0,250.0,TP,1.884,1.232,2026-03,1,火,9
2026-03-10 09:50:00,2026-03-10 09:55:00,49270.0,49170.0,-100.0,SL,1.54,1.122,2026-03,1,火,9
2026-03-10 09:55:00,2026-03-10 10:00:00,49250.0,49150.0,-100.0,SL,1.452,1.097,2026-03,1,火,9
2026-03-10 10:15:00,2026-03-10 10:20:00,49730.0,49630.0,-100.0,SL,1.075,1.051,2026-03,1,火,10
2026-03-11 09:20:00,2026-03-11 09:25:00,51190.0,51090.0,-100.0,SL,3.016,1.56,2026-03,2,水,9
2026-03-11 10:00:00,2026-03-11 10:10:00,50920.0,51170.0,250.0,TP,1.772,1.5,2026-03,2,水,10
2026-03-11 10:15:00,2026-03-11 10:20:00,51190.0,51090.0,-100.0,SL,1.376,1.405,2026-03,2,水,10
2026-03-11 10:20:00,2026-03-11 10:35:00,51210.0,51110.0,-100.0,SL,1.258,0.833,2026-03,2,水,10
2026-03-17 09:40:00,2026-03-17 09:45:00,48540.0,48440.0,-100.0,SL,1.857,1.492,2026-03,1,火,9
2026-03-18 09:20:00,2026-03-18 09:35:00,49300.0,49200.0,-100.0,SL,2.864,1.977,2026-03,2,水,9
2026-03-18 09:55:00,2026-03-18 10:00:00,49460.0,49710.0,250.0,TP,1.847,1.376,2026-03,2,水,9
2026-03-18 10:00:00,2026-03-18 10:05:00,49580.0,49830.0,250.0,TP,1.76,1.33,2026-03,2,水,10
2026-03-18 10:05:00,2026-03-18 10:10:00,49760.0,50010.0,250.0,TP,1.688,1.272,2026-03,2,水,10
2026-03-18 10:10:00,2026-03-18 10:30:00,49880.0,49780.0,-100.0,SL,1.613,1.22,2026-03,2,水,10
2026-03-18 10:15:00,2026-03-18 10:20:00,50000.0,49900.0,-100.0,SL,1.535,1.168,2026-03,2,水,10
2026-03-18 10:20:00,2026-03-18 10:25:00,49900.0,49800.0,-100.0,SL,1.428,0.766,2026-03,2,水,10
2026-03-24 09:55:00,2026-03-24 10:00:00,45170.0,45070.0,-100.0,SL,1.804,1.504,2026-03,1,火,9
2026-03-24 10:00:00,2026-03-24 10:05:00,45200.0,45100.0,-100.0,SL,1.685,1.463,2026-03,1,火,10
2026-03-24 10:30:00,2026-03-24 10:35:00,45040.0,44940.0,-100.0,SL,0.931,0.855,2026-03,1,火,10
2026-03-25 09:20:00,2026-03-25 09:25:00,47630.0,47880.0,250.0,TP,3.673,1.685,2026-03,2,水,9
2026-03-25 09:35:00,2026-03-25 09:50:00,48190.0,48090.0,-100.0,SL,3.043,1.609,2026-03,2,水,9
2026-03-25 09:40:00,2026-03-25 09:45:00,48290.0,48190.0,-100.0,SL,2.83,1.573,2026-03,2,水,9
2026-03-25 10:10:00,2026-03-25 10:15:00,48030.0,47930.0,-100.0,SL,1.567,1.342,2026-03,2,水,10
