pattern,signal_dt,entry_dt,exit_dt,entry_price,pnl_pt,pnl_yen,result,signal_hour,signal_weekday,signal_month,signal_year
B,2024-06-10 18:35:00,2024-06-10 18:40:00,2024-06-10 21:30:00,38620.0,-62.2,-622.0,SL,18,0,6,2024
B,2024-06-10 18:40:00,2024-06-10 18:45:00,2024-06-10 21:30:00,38620.0,-62.2,-622.0,SL,18,0,6,2024
B,2024-06-10 18:45:00,2024-06-10 18:50:00,2024-06-10 21:30:00,38625.0,-62.2,-622.0,SL,18,0,6,2024
B,2024-06-10 18:50:00,2024-06-10 18:55:00,2024-06-10 21:30:00,38630.0,-62.2,-622.0,SL,18,0,6,2024
B,2024-06-10 18:55:00,2024-06-10 19:00:00,2024-06-10 21:30:00,38635.0,-62.2,-622.0,SL,19,0,6,2024
B,2024-06-10 19:00:00,2024-06-10 19:05:00,2024-06-10 19:45:00,38650.0,-62.2,-622.0,SL,19,0,6,2024
B,2024-06-10 19:05:00,2024-06-10 19:10:00,2024-06-10 21:30:00,38620.0,-62.2,-622.0,SL,19,0,6,2024
B,2024-06-10 20:35:00,2024-06-10 20:40:00,2024-06-10 21:30:00,38640.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-10 20:40:00,2024-06-10 20:45:00,2024-06-10 21:30:00,38670.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-10 20:45:00,2024-06-10 20:50:00,2024-06-10 21:30:00,38670.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-10 20:50:00,2024-06-10 20:55:00,2024-06-10 21:30:00,38690.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-10 20:55:00,2024-06-10 21:00:00,2024-06-10 21:30:00,38680.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-10 21:00:00,2024-06-10 21:05:00,2024-06-10 21:30:00,38690.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-10 21:05:00,2024-06-10 21:10:00,2024-06-10 21:30:00,38690.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-10 21:10:00,2024-06-10 21:15:00,2024-06-10 21:30:00,38695.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-10 21:15:00,2024-06-10 21:20:00,2024-06-10 21:30:00,38705.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-10 21:20:00,2024-06-10 21:25:00,2024-06-10 21:30:00,38705.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-10 21:25:00,2024-06-10 21:30:00,2024-06-10 21:30:00,38685.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-10 21:30:00,2024-06-10 21:35:00,2024-06-10 21:45:00,38640.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-10 22:10:00,2024-06-10 22:15:00,2024-06-10 23:50:00,38710.0,122.8,1228.0,SESSION,22,0,6,2024
B,2024-06-10 22:15:00,2024-06-10 22:20:00,2024-06-10 22:30:00,38740.0,-62.2,-622.0,SL,22,0,6,2024
B,2024-06-10 22:20:00,2024-06-10 22:25:00,2024-06-10 23:50:00,38730.0,102.8,1028.0,SESSION,22,0,6,2024
B,2024-06-10 22:25:00,2024-06-10 22:30:00,2024-06-10 23:50:00,38730.0,102.8,1028.0,SESSION,22,0,6,2024
B,2024-06-10 22:30:00,2024-06-10 22:35:00,2024-06-10 23:50:00,38690.0,142.8,1428.0,SESSION,22,0,6,2024
B,2024-06-10 22:50:00,2024-06-10 22:55:00,2024-06-10 23:50:00,38825.0,7.8,78.0,SESSION,22,0,6,2024
B,2024-06-10 22:55:00,2024-06-10 23:00:00,2024-06-10 23:50:00,38820.0,12.8,128.0,SESSION,23,0,6,2024
B,2024-06-10 23:00:00,2024-06-10 23:05:00,2024-06-10 23:50:00,38845.0,-12.2,-122.0,SESSION,23,0,6,2024
B,2024-06-10 23:05:00,2024-06-10 23:10:00,2024-06-10 23:50:00,38850.0,-17.2,-172.0,SESSION,23,0,6,2024
B,2024-06-10 23:10:00,2024-06-10 23:15:00,2024-06-10 23:50:00,38850.0,-17.2,-172.0,SESSION,23,0,6,2024
B,2024-06-10 23:15:00,2024-06-10 23:20:00,2024-06-10 23:50:00,38845.0,-12.2,-122.0,SESSION,23,0,6,2024
B,2024-06-10 23:20:00,2024-06-10 23:25:00,2024-06-10 23:50:00,38835.0,-2.2,-22.0,SESSION,23,0,6,2024
B,2024-06-10 23:25:00,2024-06-10 23:30:00,2024-06-10 23:50:00,38850.0,-17.2,-172.0,SESSION,23,0,6,2024
B,2024-06-10 23:30:00,2024-06-10 23:35:00,2024-06-10 23:50:00,38835.0,-2.2,-22.0,SESSION,23,0,6,2024
B,2024-06-10 23:45:00,2024-06-10 23:50:00,2024-06-10 23:50:00,38880.0,-47.2,-472.0,SESSION,23,0,6,2024
B,2024-06-13 21:40:00,2024-06-13 21:45:00,2024-06-13 23:50:00,39100.0,97.8,978.0,SESSION,21,3,6,2024
B,2024-06-13 21:45:00,2024-06-13 21:50:00,2024-06-13 23:50:00,39125.0,72.8,728.0,SESSION,21,3,6,2024
B,2024-06-13 21:50:00,2024-06-13 21:55:00,2024-06-13 23:50:00,39125.0,72.8,728.0,SESSION,21,3,6,2024
B,2024-06-13 21:55:00,2024-06-13 22:00:00,2024-06-13 23:50:00,39125.0,72.8,728.0,SESSION,22,3,6,2024
B,2024-06-13 22:00:00,2024-06-13 22:05:00,2024-06-13 23:50:00,39125.0,72.8,728.0,SESSION,22,3,6,2024
B,2024-06-13 22:05:00,2024-06-13 22:10:00,2024-06-13 23:50:00,39130.0,67.8,678.0,SESSION,22,3,6,2024
B,2024-06-13 22:10:00,2024-06-13 22:15:00,2024-06-13 23:50:00,39125.0,72.8,728.0,SESSION,22,3,6,2024
B,2024-06-13 22:15:00,2024-06-13 22:20:00,2024-06-13 23:50:00,39145.0,52.8,528.0,SESSION,22,3,6,2024
B,2024-06-13 22:20:00,2024-06-13 22:25:00,2024-06-13 23:50:00,39150.0,47.8,478.0,SESSION,22,3,6,2024
B,2024-06-13 22:25:00,2024-06-13 22:30:00,2024-06-13 23:50:00,39130.0,67.8,678.0,SESSION,22,3,6,2024
B,2024-06-13 22:30:00,2024-06-13 22:35:00,2024-06-13 23:50:00,39135.0,62.8,628.0,SESSION,22,3,6,2024
B,2024-06-13 22:35:00,2024-06-13 22:40:00,2024-06-13 23:50:00,39165.0,32.8,328.0,SESSION,22,3,6,2024
B,2024-06-13 22:40:00,2024-06-13 22:45:00,2024-06-13 23:50:00,39210.0,-12.2,-122.0,SESSION,22,3,6,2024
B,2024-06-13 22:45:00,2024-06-13 22:50:00,2024-06-13 23:50:00,39205.0,-7.2,-72.0,SESSION,22,3,6,2024
B,2024-06-13 22:50:00,2024-06-13 22:55:00,2024-06-13 23:50:00,39215.0,-17.2,-172.0,SESSION,22,3,6,2024
B,2024-06-13 22:55:00,2024-06-13 23:00:00,2024-06-13 23:50:00,39200.0,-2.2,-22.0,SESSION,23,3,6,2024
B,2024-06-13 23:00:00,2024-06-13 23:05:00,2024-06-13 23:50:00,39240.0,-62.2,-622.0,SL,23,3,6,2024
B,2024-06-13 23:05:00,2024-06-13 23:10:00,2024-06-13 23:50:00,39230.0,-62.2,-622.0,SL,23,3,6,2024
B,2024-06-13 23:10:00,2024-06-13 23:15:00,2024-06-13 23:40:00,39245.0,-62.2,-622.0,SL,23,3,6,2024
B,2024-06-13 23:15:00,2024-06-13 23:20:00,2024-06-13 23:40:00,39245.0,-62.2,-622.0,SL,23,3,6,2024
B,2024-06-13 23:20:00,2024-06-13 23:25:00,2024-06-13 23:40:00,39245.0,-62.2,-622.0,SL,23,3,6,2024
B,2024-06-13 23:25:00,2024-06-13 23:30:00,2024-06-13 23:40:00,39250.0,-62.2,-622.0,SL,23,3,6,2024
B,2024-06-13 23:30:00,2024-06-13 23:35:00,2024-06-13 23:40:00,39260.0,-62.2,-622.0,SL,23,3,6,2024
B,2024-06-17 20:30:00,2024-06-17 20:35:00,2024-06-17 20:45:00,38490.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-17 20:35:00,2024-06-17 20:40:00,2024-06-17 20:45:00,38480.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-17 20:40:00,2024-06-17 20:45:00,2024-06-17 20:55:00,38440.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-17 20:45:00,2024-06-17 20:50:00,2024-06-17 20:55:00,38435.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-17 20:50:00,2024-06-17 20:55:00,2024-06-17 20:55:00,38405.0,-62.2,-622.0,SL,20,0,6,2024
B,2024-06-17 21:30:00,2024-06-17 21:35:00,2024-06-17 22:50:00,38420.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-17 21:35:00,2024-06-17 21:40:00,2024-06-17 21:45:00,38435.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-17 21:40:00,2024-06-17 21:45:00,2024-06-17 22:50:00,38405.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-17 21:45:00,2024-06-17 21:50:00,2024-06-17 23:05:00,38370.0,-62.2,-622.0,SL,21,0,6,2024
B,2024-06-17 22:05:00,2024-06-17 22:10:00,2024-06-17 22:50:00,38400.0,-62.2,-622.0,SL,22,0,6,2024
B,2024-06-17 22:10:00,2024-06-17 22:15:00,2024-06-17 23:00:00,38395.0,-62.2,-622.0,SL,22,0,6,2024
B,2024-06-17 22:40:00,2024-06-17 22:45:00,2024-06-17 22:50:00,38400.0,-62.2,-622.0,SL,22,0,6,2024
B,2024-06-17 23:50:00,2024-06-17 23:55:00,2024-06-18 00:00:00,38455.0,-62.2,-622.0,SL,23,0,6,2024
B,2024-06-20 18:15:00,2024-06-20 18:20:00,2024-06-20 22:50:00,38415.0,-62.2,-622.0,SL,18,3,6,2024
B,2024-06-20 18:55:00,2024-06-20 19:00:00,2024-06-20 22:55:00,38405.0,-62.2,-622.0,SL,19,3,6,2024
B,2024-06-20 19:40:00,2024-06-20 19:45:00,2024-06-20 22:45:00,38425.0,-62.2,-622.0,SL,19,3,6,2024
B,2024-06-20 19:45:00,2024-06-20 19:50:00,2024-06-20 22:45:00,38430.0,-62.2,-622.0,SL,19,3,6,2024
B,2024-06-20 19:50:00,2024-06-20 19:55:00,2024-06-20 22:40:00,38455.0,-62.2,-622.0,SL,19,3,6,2024
B,2024-06-20 19:55:00,2024-06-20 20:00:00,2024-06-20 22:40:00,38440.0,-62.2,-622.0,SL,20,3,6,2024
B,2024-06-20 20:00:00,2024-06-20 20:05:00,2024-06-20 22:40:00,38445.0,-62.2,-622.0,SL,20,3,6,2024
B,2024-06-20 20:05:00,2024-06-20 20:10:00,2024-06-20 22:40:00,38440.0,-62.2,-622.0,SL,20,3,6,2024
B,2024-06-20 20:10:00,2024-06-20 20:15:00,2024-06-20 22:40:00,38445.0,-62.2,-622.0,SL,20,3,6,2024
B,2024-06-20 20:15:00,2024-06-20 20:20:00,2024-06-20 22:45:00,38425.0,-62.2,-622.0,SL,20,3,6,2024
B,2024-06-20 20:35:00,2024-06-20 20:40:00,2024-06-20 22:40:00,38455.0,-62.2,-622.0,SL,20,3,6,2024
